,Date,Company,Title,Job Description,Criteria,Seniority,Employment Type,Job Function,Industry,Experience
236,2021-11-03,The MENTOR Network,Program Supervisor for Adult Day Program,"Cole Vocational Services, a member of the Sevita family, provides services for individuals with intellectual and developmental disabilities.

Supervisor Program IDD

As a mission-driven organization, we are intensely focused on expanding access to services and developing new and more effective ways of delivering supports and services to individuals we serve.

Reports directly to the Program Director
Manage services within a designated program, including site operations, case management, and implementation of individual service plans
Supervise/coordinate the daily activities of Direct Care Staff, maintain schedules of Direct Care Staff, and oversee the day-to-day operation of the program
Deliver direct care services and support to assigned individuals we serve on an ongoing basis
Provide input and feedback in hiring, corrective action, performance evaluations, and termination decisions
Ensure onboarding, orientation, and ongoing training is delivered

Qualifications

High school diploma or equivalent
One year of experience working directly with individuals with intellectual or developmental disabilities
Current CA driver's license in good standing
Reliable car with current registration and insurance
Strong attention to detail, organizational skills, and the ability to multi-task to meet deadlines
Effective communication skills to manage relationships and a reliable, responsible attitude and a compassionate approach

Why Join Us?

Full-time position and schedule is always Mon-Friday during daytime hours
Full compensation/benefits package with 401(k) with company match, and Paid time off and holiday pay
Rewarding work, impacting the lives of those you serve, working alongside a great team of coworkers
Enjoy job security with nationwide career development and advancement opportunities

Come join our amazing team of committed and caring professionals. Apply Today!

Sevita is a leading provider of home and community-based specialized health care. We believe that everyone deserves to live a full, more independent life. We provide people with quality services and individualized supports that lead to growth and independence, regardless of the physical, intellectual, or behavioral challenges they face. We’ve made this our mission for more than 50 years. And today, our 40,000 team members continue to innovate and enhance care for the 50,000 individuals we serve.

Equal Opportunity Employer, including disability/vets","Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Project Management and Information Technology
Industries
Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",Mid-Senior level,Full-time,Project Management and Information Technology,"Nonprofit Organization Management, Health, Wellness and Fitness, and Hospital & Health Care",1
237,2021-10-15,Spectraforce Technologies,Clinical Support Coordinator Associate,"What we do?

SPECTRAFORCE is an award winning global staffing, IT services and consulting company that specializes in providing top talent and solutions for clients throughout North America and India. We pride ourselves on our partnership with our clients, MSP/VMS providers, and our employees, who have enabled us to continually be ranked as a Top Supplier in the 75+ different clients we support.

Job Title: Clinical Support Coordinator Associate

Job Duration: 3 months

Job Location: Remote

Serves as initial point of contact for providers and members in the medical management process by telephone or correspondence.

Assists in ensuring members are effectively and efficiently managed through the medical/disease management process as needs require.

Within extension of authority, assigns length of stay on acute inpatient admissions, as well as approves specific home health, DME.

Process authorization requests and facilitates referrals.

Assists with system letters, requests for information and data entry.

Provides administrative/clerical support to medical and disease management.

Responsibilities

Process large volume inbound faxes

Handle large volume inbound phone calls

Entry level intake (faxed in auth's, calls left on voicemail)

Select support for Case Manager such as mailings, surveys.

Data entry including authorization forms, high risk member information, verbal HIPPA authorizations, and SNF admissions

Specified template letters for CM

Create family files

Specified callbacks

Assist HMO with IPA mail authorization forms

Mail HIPAA forms to members

Support to Senior/Lead HCS

Responds to inquiry calls on a limited basis

Education/Requirements

Generally requires minimal experience.

Generally requires moderate experience in computer functions and software applications

0-1 years experience

Why You Should Apply

Great pay
Excellent work location
Opportunity to work with one of the leading medical devices giant
Long term contract duration
Application Process:

Application Submission; we will reach out to you over the phone to discuss important aspects of this job opening and upon agreement your profile will be submitted to the client for review.
Interviews; Depending on the size of the selection committee, several interviews are scheduled for each candidate. We will coordinate with candidates to set up interviews with our client.
Job offer; After completion of all the interviews, Hiring Manager confers and evaluates applicants based on the interviews, job experience, skills and talent assessments, and all other relevant information (recommendations, e.g.). A top choice should be identified and agreed on.
Background checks; after Job offer, background checks would be conducted to review candidates’ criminal record, to verify employment history and eligibility, and to run credit checks. Drug testing may also be warranted, depending on the nature of the job.
On boarding; Based on the background checks, first day reporting details would be shared with candidate upon the client ‘instructions.

Additional Information

This is not necessarily an all-inclusive list of job-related responsibilities, duties, skills, efforts, requirements or working conditions. While this is intended to be an accurate reflection of the current job, SPECTRAFORCE and the assigned client reserve the right to revise the job or to require that other or different tasks be performed as assigned.
Benefits: SPECTRAFORCE offers ACA compliant health benefits as well as dental, vision, accident, and hospital indemnity insurances. Additional benefits SPECTRAFORCE offers to the eligible employees include commuter benefits, 401K plan with matching and a referral bonus program. SPECTRAFORCE offers unpaid leave as well as paid sick leave when required by law.
Equal Opportunity Employer: SPECTRAFORCE is an equal opportunity employer and does not discriminate against any employee or applicant for employment because of race, religion, colour, sex, national origin, age, sexual orientation, gender identity, genetic information, disability or veteran status, or any other category protected by applicable federal, state, or local laws. Please contact Human Resources at nahr@spectraforce.com if you require a reasonable accommodation.
For the full list of our open positions, please check www.spectraforce.com .","Seniority level
Entry level
Employment type
Contract
Job function
Health Care Provider
Industries
Nonprofit Organization Management, Education Management, and Maritime",Entry level,Contract,Health Care Provider,"Nonprofit Organization Management, Education Management, and Maritime",3
238,2021-10-21,"Ursus, Inc.",Technical Writer,"Job Title:  Technical Writer
Location:  Remote
Duration:  1 year
 
Summary
Under general supervision, leads, manages, plans, produces, implements, and analyzes internal and external communications strategies and tactics for projects, programs, products, and services to various audience and market segments through varied channels. Functional areas include technical writing, public relations, and/or marketing communications.
Responsibilities:
Manages internal and external stakeholder and audience relations, including relationships with vendors, agencies, and other channel partner
Interprets complex issues and presents them effectively; adapts style, tone, and word choice to various channels or stakeholder requests
Maintains a pipeline of potential case studies and references by forging strong relationships with project executives and consulting team members for new topics and content based on trends within the company's competitive landscape.
Builds strong relationships with strategic external partners to maximize reach and influence third parties, such as analysts/ consultancies, to license their content and collaborate to produce or utilize third party white papers & research reports Identifies cross-team impacts and communicates needs as appropriate to peers and leadership
Responsible for the enterprise content portfolio including print and digital content directed internally to employees and externally to customers and other company stakeholders
Maintains a macro view of all content related to the company corporate brand and Business Unit brands around the globe Researches and writes content for online and offline marketing deliverables such as requests for proposals, technical documentation, customer and product brochures, customer and employee testimonials, white papers, case studies, advertising materials, presentations, video and animation scripts, email campaigns, executive speeches, and major internal company announcements
Consults with internal Line of Business Leads to understand their industry, insights and customer needs and then provide strategic written communications support their needs
Qualifications:
Bachelor's Degree in Marketing, Communications, or related experience Three to five years' experience in related communications work for a variety of mediums and customizing content to targeted audiences
Portfolio of work and completed projects
Demonstrated ability to use creative ideas to research, present and recommend community involvement proposals
Demonstrated project management, analytical and problem-solving ability
Excellent verbal communication skills with a demonstrated ability to speak in group situations with clear and concise communication
Strong writing, editing, communication, presentation, organization, and planning skills; ability to write documentation and reports that are clear, complete, and understood by both technical and non-technical audiences
Ability to organize individual responsibilities for multiple tasks, resulting in the timely and accurate completion and delivery tasks
Proficiency with word processing, flowcharts, and spreadsheet applications
Excellent interpersonal skills to foster cooperation amongst business partners and coordinate internal as well as external resource/workload
Regularly exercises discretion and independent judgment the in performance of his/her job duties
Ability to work with individuals from all levels of organization
Proficient in word processing and desktop publishing applications


IND123
 ","Seniority level
Associate
Employment type
Contract
Job function
Marketing, Public Relations, and Writing/Editing
Industries
Marketing and Advertising, Information Technology and Services, and Computer Software",Associate,Contract,"Marketing, Public Relations, and Writing/Editing","Marketing and Advertising, Information Technology and Services, and Computer Software",1
239,2021-11-04,CommonSpirit Health,Lab Courier / Driver,"*Overview*

Dignity Health, one of the nation’s largest health care systems, is a 22-state network of more than 9,000 physicians, 63,000 employees, and 400 care centers, including hospitals, urgent and occupational care, imaging and surgery centers, home health, and primary care clinics. Headquartered in San Francisco, Dignity Health is dedicated to providing compassionate, high-quality, and affordable patient-centered care with special attention to the poor and underserved. In FY17, Dignity Health provided $2.6 billion in charitable care and community services. For more information, please visit our website at [www.dignityhealth.org](http://www.dignityhealth.org/). You can also follow us on Twitter and Facebook.

*Responsibilities*

Under general supervision and medical direction, performs such duties which include, but are not limited to, pick up and delivery of specimens, supplies and reports between all clients. Transportation of other items as instructed by supervisor or designee. Communicate effectively with physicians, office staff, co-workers and community. Recognizes and documents problems related to transportation including mechanical problems and completes preventative maintenance checklist. Plans, organizes and shares work cooperatively according to demand. Responsible for various duties associated with support functions of the Laboratory that are clerical in nature. These tasks encompass but are not limited to such acts as specimen handling, telephone and verbal communication, filing, sorting and distribution. Retrieval of voice mail from dispatch phone required. Ensures specimens, reports and supplies are effectively routed and completed. Occasional use of Hospital/Laboratory system required. Compliance of specimen handling as it relates to Clinical Laboratory Law. (Signature of form required) This position requires the full understanding and active participation in fulfilling the Mission of the Organization. It is expected that the employee will demonstrate behavior consistent with the Core Values.

Demonstrates the ability to safely and competently perform tasks and procedures according to Medical Center

Policy And Procedure. Including, But Not Limited To

Pick up and delivery of specimens, supplies and documents between hospitals, laboratories, clients and physician's

offices

Documentation of mechanical problems with vehicle(s)
Plans, organizes and shares work cooperatively according to demand
Ensures courier car is kept clean, inside and out
Communicate effectively with physicians, physicians' office staff, co-workers and community.
Utilize computer for daily updates and messages
Utilizes voice mail phone messaging for continual updates
Performs additional duties as assigned

Demonstrates the ability to safely and competently use equipment in the provision of department services.

Vehicles
Two-way radio and paging equipment
Centrifuge
Pnuematic tube system

*Qualifications*

Minimum

Basic computer knowledge
Knowledgeable with gmail and google office products.
Valid california drivers license. (driving record mut be free of violations) Requires successful completion of Road Test and Defensive Drivers Training Course
Ability to handle people in diverse situations
HS graduate or equivalent

Preferred

Minimum one (1) year prior Medical courier experience preferred
Previous experience dealing with public is desired","Seniority level
Not Applicable
Employment type
Full-time
Job function
Science and Health Care Provider
Industries
Health, Wellness and Fitness, Hospital & Health Care, and Medical Practice",Not Applicable,Full-time,Science and Health Care Provider,"Health, Wellness and Fitness, Hospital & Health Care, and Medical Practice",1
240,2021-11-01,Greywind Marketing Inc,Entry Level Marketing Experience Associate,"Are you ready to CHALLENGE yourself to DIVE DEEP and THINK BIG? Greywind Marketing. is a team of passionate professionals who have turned clever ideas into a unique and thriving business. There is a reason why Greywind Marketing is the nation’s leader in the marketing and sales industry. Simply put, it's our people. Our Marketing Experience Associates play a crucial role in the future of our company and communities. We are a dynamic, passionate team enthusiastic about delivering top-quality products and programs that continue to raise the bar!

Perks of working as a Marketing Experience Associates with us:

Complete training
Growth-focused environment
Holiday closures
Community involvement and volunteer events
Company Parties and team bonding activities
Diverse and upbeat workplace culture


This Marketing Experience Associate position is ideal for an individual who is looking to grow their marketing skills in a challenging, dynamic work atmosphere with the support of a cross-functional marketing and sales team. Our Marketing Experience Associates have the opportunity to get involved in a wide variety of marketing-related areas, pitching in wherever the need is greatest while also carving out areas of professional development. As a Marketing Experience Associate with us, You will be the face of the company and promote our client’s brand to prospective new clients via direct marketing campaigns. By building and maintaining trusting relationships with customers and industry partners we are able to help forward-thinking companies transform how they accomplish their most challenging projects.

Responsibilities:

Generate and produce innovative marketing and sales campaigns
Establish, develop, and maintain new partnerships with potential clients
Market and promote products direct to consumer by conducting face-to-face sales and marketing presentations
Deliver in-depth product knowledge to customers and educate them on the benefits of each product or service to successfully impact sales performance and increase sales margin
Assist with the overall marketing plan for each client brand by attending daily meeting with the marketing and sales team
Manage, analyze, and report the results of customer marketing initiatives to Account Management staff


Requirements:

Experience in marketing, sales, direct sales, promotions, or public relations preferred
Ability to provide results under pressure
Strong interpersonal communication abilities with the capability to negotiate and persuade clients
Must be a self-starter who excels at multitasking and thrives in a fast-paced atmosphere
Team Player with a collaborative resilient attitude and a passion for what you do
Confident in a large group environment and with face to face consumer interaction
Ability to work both independently and in a group setting


Powered by JazzHR

Th1T3iQ3q4","Seniority level
Entry level
Employment type
Full-time
Job function
Marketing and Sales
Industries
Marketing and Advertising",Entry level,Full-time,Marketing and Sales,Marketing and Advertising,NaN
241,2021-10-13,Schnitzer Steel,Senior Financial Analyst,"The Senior Financial Analyst (SFA) for Products & Services reports directly to the Finance Director. The SFA supports the Finance Department by assisting with financial analysis, reporting and organizing budgets and forecasts and performing financial projects as they arise. The SFA position involves the application of analytical skills to generate support for senior management and review of the division's financial performance. The position also involves the application of accounting principles, modeling and analysis to solve practical everyday problems.

Manage and enter Catalytic Converter Settlements and counts into Database from multiple locations and tools.
Provide support to the Sales team by running models to produce the number of ounces to hedge based on historical data.
Run financial scenarios to determine most profitable contract terms to buy and sell metal.
Build and maintain analytical tools for Catalytic Converter settlement history, Average PGM Content and type.
Manage/track process for Hedging & Settling metal sales.
Provide Customer service team with commercial support in the development of contracts and sales terms.
Partner with accounting team to develop and enter unit pricing into accounting system, enter purchase contracts and ensure they are closed out in a timely manner.
Perform Margin analysis to track profitability of sales.
Detailed analysis and review of all unsold metal, highlighting areas of exposure and risk.
Develop customer facing analytics to provide a value-added service to customer.
Assists in the support of the financial planning and forecasting process as well as interacting proactively with the regional operational staff and business partners to consolidate and provide reporting to senior management.
Works with Finance group to continually look at improvements to the budgeting and forecasting process.
Assists in maintaining and further development of Hyperion, reporting through Hyperion and Excel models used in the budgeting and forecasting processes and reporting.
Assists in working with regional operations to improve their reporting, budgeting and forecasting processes to ensure smooth consolidations and reporting.
Performs ad-hoc analyses to support senior management and operations.
Provides assistance in the preparation of presentation materials.

Skills Required

Communication

Ability to communicate will all aspects of the business
Ability to be professional and remain calm under pressure

Organization

Needs to stay on top of process
Be able to manage multiple processes at once
Keep track and monitor workflow status of multiple projects
Organize documents in the correct location, and keep related documents together
Maintain and manage multiple files and documents, ensuring they all tie together

Business Skills

High degree of business acumen. Must be able to master the concept of the hedging / sales process and understand the flow from start to finish
Advanced Excel skill, ability to create and work meaningful analytics using pivot tables and other tools
Superior attention to detail, must be able to accurately enter data, and ensure quality control
Analytical ability to spot and identify errors in the process, intercept potential bad data work with various teams to resolve issues

Qualifications

Bachelor's degree in Business with an emphasis in Finance or Accounting, or equivalent combination of work experience and education
Minimum three years of experience in financial analyst role or professional accounting
Strong communication and analytical skills
Strong working knowledge of Excel and PowerPoint
Ability to work and cooperate with others to complete projects
Ability to work efficiently in a fast-paced environment, comfortable with multi-tasking and juggling multi priorities
Experience with and ERP financial system (Oracle and Hyperion) preferred

PLEASE NOTE: The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties and skills required.

All U.S. applicants must be 18 years of age or older and all Canada applicants must be 16 years of age or older.

Schnitzer Steel Industries, Inc. participates in e-verify for all U.S. new hires.

An offer of U.S. employment by Schnitzer Steel Industries, Inc. or any of its subsidiaries is contingent on the satisfactory completion of a post-offer drug screen and background check.

All new hires must review and sign an Arbitration Agreement. This applies to all U.S. non-union employees.

As an Equal Opportunity Employer, Schnitzer Steel Industries, Inc. does not discriminate on the basis of race, religion, color, sex, marital status, disability status, national origin or ancestry, veteran status, age, prior industrial injury, sexual orientation, genetic information, or any other protected status under local, state or federal law.","Seniority level
Associate
Employment type
Contract
Job function
Finance and Sales
Industries
Retail",Associate,Contract,Finance and Sales,Retail,3
242,2021-11-01,Greywind Marketing Inc,Junior Account Manager - Full Time,"At Greywind, we are growing at an accelerated rate and have gained an exceptional industry reputation along the way. We represent some of the largest brand names in the world. With pressure from our clients to continue our rapid growth, we are pursuing an exceptional Junior Sales Account Manager to join our outstanding team. Join us in our quest to deliver a superior sales experience to all by providing high-quality products at great prices!

We are looking for highly competitive, ambitious, and hardworking individuals who want to grow and are willing to push themselves. Our ideal Junior Sales Account Manager is someone who is not only looking for a long-term career opportunity but is also looking to challenge themselves. We offer an opportunity to grow, both professionally and personally, with a company that focuses on building industry leaders. If you are ready to fast-track your success and take the next big step in your career, look no further! Our Junior Sales Account Manager - Entry Level Sales program is designed for you!

Junior Sales Account Manager Responsibilities:

Build and maintain positive and professional relationships with clients, customers, and fellow team members
Provide superior sales support to ensure flawless customer enrollment to minimize turnover and maximize customer retainment
Gain knowledge in all company aspects of sales, client relations, leadership, and customer acquisition
Greet customers with a friendly, engaging attitude, and be consistently prepared to provide legendary service and sales support to each customer
Recommend products, sales promotions, and services that fit each individual’s needs
Exceed sales performance standards and set the standard for the rest of the sales department
Consistently perform leadership actions and maintain high standards, whether or not management is present


Junior Sales Account Manager Requirements:

Degree in Business Management, Marketing, Management, or Communications
0-2 years of experience in leadership, management, client-facing, supervisor, or sales position
Anticipate, recognize, and deal effectively with existing or potential conflicts as they arise
Ability to make strong connections, engage and educate customers
Detail-oriented, organized, and able to juggle multiple tasks
Flexibility to operate and self-driven to excel in a fast-paced environment
Self-starting, scrappy, and resourceful work ethic requiring minimal to no guidance
Develop skills and assist in leading, directing, motivating, and educating others


Why Choose Us?

Full training from the ground up
Immense opportunity to learn and grow into upper positions
Fun, diverse, and supportive team were making jokes and having fun are encouraged
Company funded trips and networking events
Collaborative team atmosphere where new ideas are welcomed and supported
Holiday closers and a set schedule


Powered by JazzHR

q3iXj3vTHx","Seniority level
Entry level
Employment type
Full-time
Job function
Sales and Business Development
Industries
Marketing and Advertising",Entry level,Full-time,Sales and Business Development,Marketing and Advertising,2
243,2021-10-27,gpac,Program Manage - Manufacturing,"Job Description

Job Description

Program Manager

You're passionate about building something special. You want to own your space, but work with talented, like-minded people on important projects. The pace doesn't scare you; it excites you. Quality and integrity matter to you.

We feel exactly the same way.

Drive Forward. Introduce yourself to us and let's start a conversation.

We're currently on the lookout for someone to lead and manage the development and execution of our product programs. The Program Manager will plan, schedule, organize, direct and control the program deliverables on an aggressive timeline.

In this role, you will focus on cost, quality and timing and ensure the team drives and completes the phase-gate review process for each phase of the project.

Good problem-solving skills with first-hand knowledge of program/project management principles is an absolute must as you:

Lead the development and execution of the master program schedule
Work closely with Product Management team on program content development
Drive the development of the business case for program
Collaborate closely with across departments (marketing, engineering, sales, supply chain, finance, quality, etc.), holding the team accountable to ensure program deliverables are met
Drive ""Plan for every part"" from each team
Coordinate Program Team agenda, facilitate meetings, and document decisions
Use risk management approach to anticipate and prevent problems from occurring, elevate risks to management when/if they occur
Coordinate and conduct Project Gate Reviews for senior leadership
Provide regular project status reports to senior management
Support Change Management process, including screening and change approval board meetings
Ensure internal / external customer voices are understood and comprehended in program decision making
Function in an advisory capacity to other functions supporting the program execution team

Additionally, The Role Requires

Bachelor's Degree
Excellent planning, collaboration, and facilitation skills to coordinate and leverage capabilities across a highly matrixed organization involving multiple products, channels & functions
Experience with vehicle electrification programs
High level of analytical ability where problems are unusual and difficult
and key performance indicators / metrics
Ability to plan and manage complex projects crossing over many departmental lines, and take vague assignments to completion
Effective communication skills, written and oral, to all levels of the organization
Strong organizational skills
High Energy / Flexible / Adaptable / Dynamic / ""can-do"" attitude
High comfort and confidence level while giving presentations to room of peers and/or stakeholders
Ability to influence and thrive within a rapidly changing / growing matrix organization

Candidates must have current U.S. work authorization

My name is Bill Danton. At Gpac I strive to offer you the best job placement experience. Did you know our services don't cost you anything? All I ask for is referrals. Our clients hire us to find great people like you. I hope I have the opportunity to earn your business, and I look forward to discussing your career goals.

For additional information on this opportunity, contact Bill Danton directly at 605-679-9918. Resumes may be sent confidentially to bill.danton@gogpac.com.

If your team needs any position(s) filled, we can also assist in presenting qualified talent. Reach out for consultation TODAY!

All qualified applicants will receive consideration without regard to race, age, color, sex (including pregnancy), religion, national origin, disability, sexual orientation, gender identity, marital status, military status, genetic information, or any other status protected by applicable laws or regulations.

GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States for the past 31 years. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time.","Seniority level
Not Applicable
Employment type
Full-time
Job function
Other
Industries
Automotive",Not Applicable,Full-time,Other,Automotive,1
244,2021-11-02,US Tech Solutions,Data Entry Supervisor,"
        Job DescriptionJob DescriptionProgram ManagerYou're passionate about building something special. You want to own your space, but work with talented, like-minded people on important projects. The pace doesn't scare you; it excites you. Quality and integrity matter to you.We feel exactly the same way.Drive Forward. Introduce yourself to us and let's start a conversation.We're currently on the lookout for someone to lead and manage the development and execution of our product programs. The Program Manager will plan, schedule, organize, direct and control the program deliverables on an aggressive timeline.In this role, you will focus on cost, quality and timing and ensure the team drives and completes the phase-gate review process for each phase of the project.Good problem-solving skills with first-hand knowledge of program/project management principles is an absolute must as you:Lead the development and execution of the master program scheduleWork closely with Product Management team on program content developmentDrive the development of the business case for programCollaborate closely with across departments (marketing, engineering, sales, supply chain, finance, quality, etc.), holding the team accountable to ensure program deliverables are metDrive ""Plan for every part"" from each teamCoordinate Program Team agenda, facilitate meetings, and document decisionsUse risk management approach to anticipate and prevent problems from occurring, elevate risks to management when/if they occurCoordinate and conduct Project Gate Reviews for senior leadershipProvide regular project status reports to senior managementSupport Change Management process, including screening and change approval board meetingsEnsure internal / external customer voices are understood and comprehended in program decision makingFunction in an advisory capacity to other functions supporting the program execution teamAdditionally, The Role RequiresBachelor's DegreeExcellent planning, collaboration, and facilitation skills to coordinate and leverage capabilities across a highly matrixed organization involving multiple products, channels & functionsExperience with vehicle electrification programsHigh level of analytical ability where problems are unusual and difficultand key performance indicators / metricsAbility to plan and manage complex projects crossing over many departmental lines, and take vague assignments to completionEffective communication skills, written and oral, to all levels of the organizationStrong organizational skillsHigh Energy / Flexible / Adaptable / Dynamic / ""can-do"" attitudeHigh comfort and confidence level while giving presentations to room of peers and/or stakeholdersAbility to influence and thrive within a rapidly changing / growing matrix organizationCandidates must have current U.S. work authorizationMy name is Bill Danton. At Gpac I strive to offer you the best job placement experience. Did you know our services don't cost you anything? All I ask for is referrals. Our clients hire us to find great people like you. I hope I have the opportunity to earn your business, and I look forward to discussing your career goals.For additional information on this opportunity, contact Bill Danton directly at 605-679-9918. Resumes may be sent confidentially to bill.danton@gogpac.com.If your team needs any position(s) filled, we can also assist in presenting qualified talent. Reach out for consultation TODAY!All qualified applicants will receive consideration without regard to race, age, color, sex (including pregnancy), religion, national origin, disability, sexual orientation, gender identity, marital status, military status, genetic information, or any other status protected by applicable laws or regulations.GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States for the past 31 years. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time.
      ","Seniority level
Not Applicable
Employment type
Contract
Job function
Customer Service, Administrative, and Management
Industries
Staffing and Recruiting",Not Applicable,Contract,"Customer Service, Administrative, and Management",Staffing and Recruiting,1
245,2021-10-21,"Construction Innovations, LLC",Assistant Project Manager,"
        • Key Data Entry (KDE) Supervisor must have proven experience in a supervisory role or lead role over an administrative staff and building a strong team production environment• Lead team toward operational excellence by monitoring key metrics, making sure team goals and contractual commitments are met• Solve routine issues within established guidelines• Escalate issues for which there is not a documented procedure or precedent• Ensure all tracking and reporting is complete and accurate• Provide general supervision• Make and monitor work assignments• Maintain procedure manuals and verify that updates are incorporated quickly• Create and maintain training material• Ensure staff is trained on processes and procedures
      ","Seniority level
Associate
Employment type
Full-time
Job function
Project Management and Information Technology
Industries
Electrical/Electronic Manufacturing",Associate,Full-time,Project Management and Information Technology,Electrical/Electronic Manufacturing,NaN
246,2021-10-22,Blue Shield of California,"Provider Processor, Intermediate","Blue Shield of California’s mission is to ensure all Californians have access to high-quality health care at a sustainably affordable price. We are transforming health care in a way that truly serves our nonprofit mission by lowering costs, improving quality, and enhancing the member and physician experience.

To fulfill our mission, we must ensure a diverse, equitable, and inclusive environment where all employees can be their authentic selves and fully contribute to meet the needs of the multifaceted communities we serve. Our comprehensive approach to diversity, equity, and inclusion combines a focus on our people, processes, and systems with a deep commitment to promoting social justice and health equity through our products, business practices, and presence as a corporate citizen.

Blue Shield has received awards and recognition for being a certified Great Place to Work, best place to work for LGBTQ equality, leading disability employer, one of the best companies for women to advance, Bay Area’s top companies in volunteering & giving, and one of the world’s most ethical companies. Here at Blue Shield of California, we are striving to make a positive change across our industry and the communities we live in – join us!

Your Role

The Provider Operations team manages Blue Shield’s network of physicians, IPA/Medica groups, hospitals, and specialty healthcare providers. The Provider Processor will report to the Operations Supervisor. In this role you will work independently and demonstrate strong organization and prioritization skills, respond to various provider inquires via telephone and correspondence. Apply standard operating procedures and guidelines and resolve within established production and quality standards. Processors must have the ability to communicate professionally when making outbound calls. As an individual contributor our leadership model is about developing great leaders at all levels and creating opportunities for our people to grow – personally, professionally, and financially.

Your Work

In This Role, You Will

Apply defined procedures and policies to accurately maintain provider file maintenance in the Provider Manager application
Complete any/all inquiries/updates surrounding Blue Shield of California's and/or Blue Shield of California’s Promise Health Plan. This could include, but is not limited to, creating, or terminating profiles, locations, address, contacts, specialties, languages, networks, etc. for practitioners and/or providers
Coordinate with other departments to ensure timely and appropriate responses via email, phone, or meetings are completed
Educate internal and external customers regarding contractual responsibilities, and updates to policies and procedures, improving overall customer satisfaction in the process
Research, resolve, and respond to provider inquiries verbally or in writing
Print, scan, email, make outbound calls, and conduct additional research
Consistently perform established duties that are measurable metrics by internal SLA’s or mandated turnaround times
Continually perform high level data entry, making sure to meet or exceed daily goals of production, while maintaining a high level of work quality
Perform inventory reduction, by completing any/all assigned tasks and then working ahead (routine to mid-level)
Expedite, research, and resolve complex issues

Your Knowledge And Experience

Requires a high school diploma or GED
Requires minimum of 3 years of experience
Requires intermediate to advanced skills creating documents/files using Excel, Outlook, Power Point, and Word
Requires basic job knowledge of systems and procedures obtained through prior work experience or education

Our Values

Honest. We hold ourselves to the highest ethical and integrity standards. We build trust by doing what we say we're going to do and by acknowledging and correcting where we fall short
Human. We strive to be our authentic selves, listening and communicating effectively, and showing empathy towards others by walking in their shoes
Courageous. We stand up for what we believe in and are committed to the hard work necessary to achieve our ambitious goals","Seniority level
Not Applicable
Employment type
Full-time
Job function
Customer Service and Information Technology
Industries
Hospital & Health Care and Insurance",Not Applicable,Full-time,Customer Service and Information Technology,Hospital & Health Care and Insurance,3
