Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Quarter Employment Estimate,Projected Quarter Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
State,California,2020-2022,4,11-9111,Medical and Health Services Managers,36600,40600,4000,10.9,1890,4220,10110,60.15,125108.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,11-9121,Natural Sciences Managers,8200,8800,600,7.3,360,1150,2110,81.51,169539.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,11-9141,"Property, Real Estate, and Community Association Managers",61900,66300,4400,7.1,4770,5100,14270,30.19,62778.00,High school diploma or equivalent,<5 years,None
State,California,2020-2022,4,11-9199,"Managers, All Other",144100,155400,11300,7.8,7580,15110,33990,0.00,0.00,Bachelor's degree,<5 years,None
State,California,2020-2022,2,13-0000,Business and Financial Operations Occupations,1070900,1160400,89500,8.4,61150,149900,300550,36.95,76848.00,N/A,N/A,N/A
State,California,2020-2022,3,13-1000,Business Operations Specialists,720700,782700,62000,8.6,41630,105180,208810,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",5600,6200,600,10.7,390,980,1970,42.08,87529.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,13-1020,Buyers and Purchasing Agents,47000,49900,2900,6.2,3050,7050,13000,33.89,70495.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-1031,"Claims Adjusters, Examiners, and Investigators",33800,34800,1000,3.0,1650,4150,6800,37.17,77307.00,High school diploma or equivalent,None,Long-term on-the-job training
State,California,2020-2022,4,13-1032,"Insurance Appraisers, Auto Damage",3000,3000,0,0.0,150,370,520,32.25,67095.00,Postsecondary non-degree award,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-1041,Compliance Officers,39500,41500,2000,5.1,2260,4840,9100,39.45,82071.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-1051,Cost Estimators,27200,29900,2700,9.9,1450,4200,8350,35.09,72990.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-1071,Human Resources Specialists,63000,69900,6900,11.0,3550,9780,20230,34.13,70994.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-1075,Labor Relations Specialists,7000,7800,800,11.4,400,1090,2290,37.73,78488.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,13-1081,Logisticians,20500,22200,1700,8.3,1000,3070,5770,40.09,83395.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-1111,Management Analysts,130500,141000,10500,8.0,8430,17150,36080,41.02,85329.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,13-1121,"Meeting, Convention, and Event Planners",15700,17800,2100,13.4,1070,2740,5910,27.19,56557.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-1131,Fundraisers,8800,9400,600,6.8,600,1290,2490,29.90,62187.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",10300,11000,700,6.8,700,1320,2720,35.76,74364.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,13-1151,Training and Development Specialists,28500,31200,2700,9.5,1780,4630,9110,34.62,72002.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,13-1161,Market Research Analysts and Marketing Specialists,100300,113600,13300,13.3,5030,16830,35160,34.57,71900.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-1199,"Business Operations Specialists, All Other",179400,192800,13400,7.5,10110,25620,49130,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,3,13-2000,Financial Specialists,350200,377700,27500,7.9,19520,44720,91740,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,13-2011,Accountants and Auditors,155800,171700,15900,10.2,9240,21280,46420,37.14,77256.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-2021,Appraisers and Assessors of Real Estate,6500,6700,200,3.1,450,530,1180,0.00,0.00,Bachelor's degree,None,Long-term on-the-job training
State,California,2020-2022,4,13-2031,Budget Analysts,7100,7400,300,4.2,360,770,1430,41.92,87182.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-2041,Credit Analysts,8600,8800,200,2.3,380,1180,1760,39.64,82438.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-2051,Financial Analysts,40200,43200,3000,7.5,1600,5470,10070,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,13-2052,Personal Financial Advisors,34400,36400,2000,5.8,1610,3740,7350,40.96,85197.00,Bachelor's degree,None,Long-term on-the-job training
State,California,2020-2022,4,13-2053,Insurance Underwriters,9200,9200,0,0.0,430,1100,1530,36.99,76940.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-2061,Financial Examiners,5100,5400,300,5.9,220,570,1090,48.17,100194.00,Bachelor's degree,None,Long-term on-the-job training
State,California,2020-2022,4,13-2071,Credit Counselors,4500,4700,200,4.4,220,560,980,24.68,51344.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-2072,Loan Officers,37200,39100,1900,5.1,1830,4550,8280,30.17,62757.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",9300,9400,100,1.1,740,830,1670,31.48,65486.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-2082,Tax Preparers,11900,13800,1900,16.0,1270,1660,4830,26.19,54460.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,4,13-2099,"Financial Specialists, All Other",20500,21800,1300,6.3,1180,2480,4960,0.00,0.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,2,15-0000,Computer and Mathematical Occupations,665400,728500,63100,9.5,22320,78970,164390,52.47,109142.00,N/A,N/A,N/A
State,California,2020-2022,3,15-1100,Computer Occupations,645700,706300,60600,9.4,21450,76950,159000,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,15-1111,Computer and Information Research Scientists,8000,8600,600,7.5,240,1040,1880,0.00,0.00,Master's degree,None,None
State,California,2020-2022,4,15-1121,Computer Systems Analysts,74000,79800,5800,7.8,2930,8180,16910,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,15-1122,Information Security Analysts,8000,8700,700,8.8,240,950,1890,0.00,0.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,15-1131,Computer Programmers,33000,36200,3200,9.7,1110,3740,8050,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,15-1132,"Software Developers, Applications",164300,182600,18300,11.1,4820,19610,42730,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,15-1133,"Software Developers, Systems Software",94900,102500,7600,8.0,2740,11160,21500,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,15-1134,Web Developers,24700,27600,2900,11.7,900,3080,6880,0.00,0.00,Associate's degree,None,None
State,California,2020-2022,4,15-1141,Database Administrators,11300,12200,900,8.0,450,1210,2560,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,15-1142,Network and Computer Systems Administrators,37400,40400,3000,8.0,1310,4120,8430,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,4,15-1143,Computer Network Architects,17400,18900,1500,8.6,480,2040,4020,0.00,0.00,Bachelor's degree,≥5 years,None
State,California,2020-2022,4,15-1151,Computer User Support Specialists,74300,81500,7200,9.7,2860,9910,19970,0.00,0.00,"Some college, no degree",None,None
State,California,2020-2022,4,15-1152,Computer Network Support Specialists,17700,19000,1300,7.3,680,2340,4320,0.00,0.00,Associate's degree,None,None
State,California,2020-2022,4,15-1199,"Computer Occupations, All Other",80700,88400,7700,9.5,2710,9560,19970,0.00,0.00,Bachelor's degree,None,None
State,California,2020-2022,3,15-2000,Mathematical Science Occupations,19800,22200,2400,12.1,870,2020,5290,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,15-2011,Actuaries,1400,1600,200,14.3,30,150,380,54.84,114076.00,Bachelor's degree,None,Long-term on-the-job training
State,California,2020-2022,4,15-2031,Operations Research Analysts,11500,12900,1400,12.2,570,1010,2980,46.77,97293.00,Bachelor's degree,None,None
State,California,2020-2022,4,15-2041,Statisticians,6100,7000,900,14.8,240,770,1910,52.72,109663.00,Master's degree,None,None
State,California,2020-2022,2,17-0000,Architecture and Engineering Occupations,349600,368600,19000,5.4,17000,38900,74900,47.52,98835.00,N/A,N/A,N/A
State,California,2020-2022,3,17-1000,"Architects, Surveyors, and Cartographers",25700,27100,1400,5.4,1280,2730,5410,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,17-1011,"Architects, Except Landscape and Naval",17100,18100,1000,5.8,840,1860,3700,43.99,91501.00,Bachelor's degree,None,Internship/residency
State,California,2020-2022,4,17-1012,Landscape Architects,3000,3100,100,3.3,140,320,560,43.12,89673.00,Bachelor's degree,None,Internship/residency
State,California,2020-2022,4,17-1021,Cartographers and Photogrammetrists,1000,1100,100,10.0,60,100,260,44.35,92257.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-1022,Surveyors,4600,4800,200,4.3,240,450,890,45.65,94944.00,Bachelor's degree,None,Internship/residency
State,California,2020-2022,3,17-2000,Engineers,237900,251100,13200,5.5,9930,24320,47450,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,17-2011,Aerospace Engineers,12100,12800,700,5.8,530,1070,2300,60.51,125853.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2031,Biomedical Engineers,3700,3900,200,5.4,160,380,740,50.15,104331.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2041,Chemical Engineers,2200,2400,200,9.1,100,190,490,49.90,103800.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2051,Civil Engineers,47400,49700,2300,4.9,1980,5580,9860,52.81,109836.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2061,Computer Hardware Engineers,22400,23700,1300,5.8,890,2430,4620,66.94,139224.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2071,Electrical Engineers,27300,28800,1500,5.5,1130,2570,5200,55.71,115883.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2072,"Electronics Engineers, Except Computer",30000,31000,1000,3.3,1230,2800,5030,61.74,128417.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2081,Environmental Engineers,9000,9600,600,6.7,500,900,2000,50.14,104290.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2400,2500,100,4.2,100,230,430,57.04,118641.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2112,Industrial Engineers,25400,27100,1700,6.7,1060,2520,5280,49.56,103085.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2131,Materials Engineers,2600,2800,200,7.7,110,230,540,50.50,105046.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2141,Mechanical Engineers,27200,28800,1600,5.9,1050,2740,5390,50.10,104219.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2171,Petroleum Engineers,2200,2100,-100,-4.5,70,240,210,65.55,136343.00,Bachelor's degree,None,None
State,California,2020-2022,4,17-2199,"Engineers, All Other",22300,23800,1500,6.7,950,2240,4690,54.51,113401.00,Bachelor's degree,None,None
State,California,2020-2022,3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",86000,90400,4400,5.1,5800,11840,22040,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,17-3011,Architectural and Civil Drafters,13600,14300,700,5.1,930,1950,3580,30.43,63289.00,Associate's degree,None,None
State,California,2020-2022,4,17-3012,Electrical and Electronics Drafters,3500,3700,200,5.7,240,510,950,34.10,70919.00,Associate's degree,None,None
State,California,2020-2022,4,17-3013,Mechanical Drafters,4400,4600,200,4.5,300,630,1130,30.68,63830.00,Associate's degree,None,None
State,California,2020-2022,4,17-3019,"Drafters, All Other",1500,1600,100,6.7,100,220,420,27.88,57977.00,Associate's degree,None,None
State,California,2020-2022,4,17-3021,Aerospace Engineering and Operations Technicians,2700,2900,200,7.4,190,360,750,32.52,67640.00,Associate's degree,None,None
State,California,2020-2022,4,17-3022,Civil Engineering Technicians,7900,8200,300,3.8,530,1030,1860,32.38,67354.00,Associate's degree,None,None
State,California,2020-2022,4,17-3023,Electrical and Electronics Engineering Technicians,23200,24200,1000,4.3,1570,3050,5620,33.35,69377.00,Associate's degree,None,None
State,California,2020-2022,4,17-3024,Electro-Mechanical Technicians,2500,2600,100,4.0,170,330,600,29.08,60480.00,Associate's degree,None,None
State,California,2020-2022,4,17-3025,Environmental Engineering Technicians,3300,3600,300,9.1,230,440,970,27.52,57242.00,Associate's degree,None,None
State,California,2020-2022,4,17-3026,Industrial Engineering Technicians,4000,4200,200,5.0,270,520,990,30.34,63095.00,Associate's degree,None,None
State,California,2020-2022,4,17-3027,Mechanical Engineering Technicians,3500,3800,300,8.6,240,470,1010,32.18,66925.00,Associate's degree,None,None
State,California,2020-2022,4,17-3029,"Engineering Technicians, Except Drafters, All Other",11500,12200,700,6.1,790,1530,3020,0.00,0.00,Associate's degree,None,None
State,California,2020-2022,4,17-3031,Surveying and Mapping Technicians,4500,4700,200,4.4,260,820,1280,33.23,69101.00,High school diploma or equivalent,None,Moderate-term on-the-job training
State,California,2020-2022,2,19-0000,"Life, Physical, and Social Science Occupations",197300,210400,13100,6.6,7830,31450,52380,40.87,85005.00,N/A,N/A,N/A
State,California,2020-2022,3,19-1000,Life Scientists,64000,68700,4700,7.3,2030,10260,16990,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,19-1012,Food Scientists and Technologists,2500,2700,200,8.0,110,480,790,35.34,73504.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-1013,Soil and Plant Scientists,2800,3000,200,7.1,120,530,850,34.78,72339.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-1021,Biochemists and Biophysicists,5800,6400,600,10.3,190,930,1720,46.80,97354.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,19-1022,Microbiologists,5000,5400,400,8.0,160,790,1350,54.59,113544.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-1023,Zoologists and Wildlife Biologists,2500,2700,200,8.0,80,400,680,35.15,73115.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-1029,"Biological Scientists, All Other",12200,13200,1000,8.2,390,1930,3320,44.55,92656.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-1031,Conservation Scientists,2200,2300,100,4.5,90,370,560,38.89,80878.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-1042,"Medical Scientists, Except Epidemiologists",28000,29900,1900,6.8,810,4350,7060,53.21,110664.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,19-1099,"Life Scientists, All Other",1800,1900,100,5.6,50,270,420,40.04,83279.00,Bachelor's degree,None,None
State,California,2020-2022,3,19-2000,Physical Scientists,37300,39700,2400,6.4,1340,6170,9910,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,19-2012,Physicists,3700,4000,300,8.1,140,480,920,54.91,114219.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,19-2031,Chemists,10600,11200,600,5.7,350,1610,2560,38.90,80909.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-2032,Materials Scientists,1100,1200,100,9.1,40,160,300,54.66,113677.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-2041,"Environmental Scientists and Specialists, Including Health",13200,13900,700,5.3,500,2430,3630,42.90,89234.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-2042,"Geoscientists, Except Hydrologists and Geographers",4400,4700,300,6.8,170,810,1280,45.24,94106.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-2099,"Physical Scientists, All Other",2600,2700,100,3.8,70,390,560,61.60,128141.00,Bachelor's degree,None,None
State,California,2020-2022,3,19-3000,Social Scientists and Related Workers,46500,49300,2800,6.0,2200,5800,10800,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,19-3011,Economists,1600,1700,100,6.3,50,200,350,53.53,111358.00,Master's degree,None,None
State,California,2020-2022,4,19-3031,"Clinical, Counseling, and School Psychologists",24300,25900,1600,6.6,1120,2400,5120,50.44,104923.00,Doctoral or professional degree,None,Internship/residency
State,California,2020-2022,4,19-3039,"Psychologists, All Other",2800,2900,100,3.6,130,270,500,56.89,118345.00,Master's degree,None,Internship/residency
State,California,2020-2022,4,19-3041,Sociologists,1200,1300,100,8.3,80,210,390,48.09,100020.00,Master's degree,None,None
State,California,2020-2022,4,19-3051,Urban and Regional Planners,7900,8200,300,3.8,260,1230,1790,44.87,93340.00,Master's degree,None,None
State,California,2020-2022,4,19-3091,Anthropologists and Archeologists,1500,1700,200,13.3,100,270,570,32.78,68182.00,Master's degree,None,None
State,California,2020-2022,4,19-3099,"Social Scientists and Related Workers, All Other",5800,6100,300,5.2,370,990,1660,40.93,85128.00,Bachelor's degree,None,None
State,California,2020-2022,3,19-4000,"Life, Physical, and Social Science Technicians",49400,52700,3300,6.7,2260,9210,14770,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,19-4011,Agricultural and Food Science Technicians,4200,4600,400,9.5,190,880,1470,0.00,0.00,Associate's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,19-4021,Biological Technicians,12100,13000,900,7.4,370,2260,3530,25.52,53075.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-4031,Chemical Technicians,6400,6800,400,6.3,250,1070,1720,23.17,48182.00,Associate's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,19-4041,Geological and Petroleum Technicians,1700,1800,100,5.9,40,310,450,0.00,0.00,Associate's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,19-4061,Social Science Research Assistants,2700,2900,200,7.4,150,510,860,24.44,50838.00,Bachelor's degree,None,None
State,California,2020-2022,4,19-4091,"Environmental Science and Protection Technicians, Including Health",5300,5600,300,5.7,300,990,1590,0.00,0.00,Associate's degree,None,None
State,California,2020-2022,4,19-4092,Forensic Science Technicians,2000,2100,100,5.0,110,380,590,40.31,83830.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,19-4093,Forest and Conservation Technicians,7500,7700,200,2.7,410,1390,2000,0.00,0.00,Associate's degree,None,None
State,California,2020-2022,4,19-4099,"Life, Physical, and Social Science Technicians, All Other",7200,8000,800,11.1,420,1390,2610,27.78,57783.00,Associate's degree,None,None
State,California,2020-2022,2,21-0000,Community and Social Service Occupations,305800,323000,17200,5.6,21500,44690,83390,25.67,53391.00,N/A,N/A,N/A
State,California,2020-2022,3,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",279500,296600,17100,6.1,19000,41060,77160,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,21-1012,"Educational, Guidance, School, and Vocational Counselors",35300,36700,1400,4.0,2330,5030,8760,36.19,75271.00,Master's degree,None,None
State,California,2020-2022,4,21-1013,Marriage and Family Therapists,23600,26300,2700,11.4,1620,3490,7810,22.81,47446.00,Master's degree,None,Internship/residency
State,California,2020-2022,4,21-1015,Rehabilitation Counselors,14600,15700,1100,7.5,980,2120,4200,15.24,31706.00,Master's degree,None,None
State,California,2020-2022,4,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",33900,36600,2700,8.0,2280,4930,9910,23.78,49459.00,Bachelor's degree,None,None
State,California,2020-2022,4,21-1019,"Counselors, All Other",4700,5000,300,6.4,320,680,1300,22.85,47538.00,Master's degree,None,None
State,California,2020-2022,4,21-1021,"Child, Family, and School Social Workers",31300,32700,1400,4.5,1890,4360,7650,27.18,56537.00,Bachelor's degree,None,None
State,California,2020-2022,4,21-1022,Healthcare Social Workers,19400,20800,1400,7.2,1190,2730,5320,37.14,77252.00,Master's degree,None,Internship/residency
State,California,2020-2022,4,21-1023,Mental Health and Substance Abuse Social Workers,15100,16000,900,6.0,920,2110,3930,28.63,59551.00,Master's degree,None,Internship/residency
State,California,2020-2022,4,21-1029,"Social Workers, All Other",10600,10900,300,2.8,630,1460,2390,34.45,71675.00,Bachelor's degree,None,None
State,California,2020-2022,4,21-1091,Health Educators,7800,8200,400,5.1,600,1210,2210,28.01,58253.00,Bachelor's degree,None,None
State,California,2020-2022,4,21-1092,Probation Officers and Correctional Treatment Specialists,13300,13500,200,1.5,590,1680,2470,44.88,93360.00,Bachelor's degree,None,Short-term on-the-job training
State,California,2020-2022,4,21-1093,Social and Human Service Assistants,50800,54000,3200,6.3,4190,8270,15660,19.94,41481.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,21-1094,Community Health Workers,6100,6400,300,4.9,470,950,1720,22.24,46251.00,High school diploma or equivalent,None,Short-term on-the-job training
State,California,2020-2022,4,21-1099,"Community and Social Service Specialists, All Other",13100,13800,700,5.3,1000,2040,3740,23.30,48458.00,Bachelor's degree,None,None
State,California,2020-2022,3,21-2000,Religious Workers,26300,26300,0,0.0,2500,3640,6140,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,21-2011,Clergy,13200,13300,100,0.8,1160,1710,2970,32.03,66629.00,Bachelor's degree,None,Moderate-term on-the-job training
State,California,2020-2022,4,21-2021,"Directors, Religious Activities and Education",10200,10100,-100,-1.0,1000,1510,2410,25.18,52380.00,Bachelor's degree,<5 years,None
State,California,2020-2022,4,21-2099,"Religious Workers, All Other",2900,2900,0,0.0,340,410,750,17.34,36067.00,Bachelor's degree,None,None
State,California,2020-2022,2,23-0000,Legal Occupations,154100,162300,8200,5.3,7880,12330,28410,50.77,105597.00,N/A,N/A,N/A
State,California,2020-2022,3,23-1000,"Lawyers, Judges, and Related Workers",107700,113300,5600,5.2,4700,5880,16180,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,23-1011,Lawyers,99900,105200,5300,5.3,4400,5430,15130,76.82,159785.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,23-1012,Judicial Law Clerks,3300,3300,0,0.0,100,200,300,32.91,68458.00,Doctoral or professional degree,None,None
State,California,2020-2022,4,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1900,1900,0,0.0,80,100,180,65.08,135363.00,Doctoral or professional degree,≥5 years,Short-term on-the-job training
State,California,2020-2022,4,23-1022,"Arbitrators, Mediators, and Conciliators",1000,1100,100,10.0,40,60,200,50.20,104433.00,Bachelor's degree,<5 years,Moderate-term on-the-job training
State,California,2020-2022,4,23-1023,"Judges, Magistrate Judges, and Magistrates",1700,1700,0,0.0,70,90,160,98.29,204443.00,Doctoral or professional degree,≥5 years,Short-term on-the-job training
State,California,2020-2022,3,23-2000,Legal Support Workers,46300,49100,2800,6.0,3180,6450,12430,0.00,0.00,N/A,N/A,N/A
State,California,2020-2022,4,23-2011,Paralegals and Legal Assistants,33300,35500,2200,6.6,2300,4980,9480,28.54,59356.00,Associate's degree,None,None
