Source: ACS 1-Year Estimates 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Sacramento County (Central)..."
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","0"
"RPR-Aircraft Mechanics And Service Technicians","30"
"RPR-Automotive Body And Related Repairers","84"
"RPR-Automotive Glass Installers And Repairers","0"
"RPR-Automotive Service Technicians And Mechanics","230"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","50"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","66"
"RPR-Small Engine Mechanics","0"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","0"
"RPR-Control And Valve Installers And Repairers","0"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","336"
"RPR-Home Appliance Repairers","0"
"RPR-Maintenance Workers, Machinery","51"
"RPR-Millwrights","0"
"RPR-Industrial And Refractory Machinery Mechanics","66"
"RPR-Electrical Power-Line Installers And Repairers","0"
"RPR-Telecommunications Line Installers And Repairers","0"
"RPR-Precision Instrument And Equipment Repairers","0"
"RPR-Maintenance And Repair Workers, General","103"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","0"
"RPR-Locksmiths And Safe Repairers","0"
"RPR-Riggers","0"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","281"
"RPR-Other Installation, Maintenance, And Repair Workers","63"
"PRD-First-Line Supervisors Of Production And Operating Workers","118"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","0"
"PRD-Engine And Other Machine Assemblers","0"
"PRD-Structural Metal Fabricators And Fitters","0"
"PRD-Other Assemblers and Fabricators","471"
"PRD-Bakers","151"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","158"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","0"
"PRD-Food Batchmakers","0"
"PRD-Food Cooking Machine Operators And Tenders","0"
"PRD-Food Processing Workers, All Other","0"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","0"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","60"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","78"
