Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3031,Financial Managers,9840,11760,1920,19.5,2340,5990,10250,65.93,137142.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3051,Industrial Production Managers,2500,2540,40,1.6,540,1300,1880,50.14,104301.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3061,Purchasing Managers,900,960,60,6.7,230,550,840,62.65,130310.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3071,"Transportation, Storage, and Distribution Managers",1410,1550,140,9.9,320,840,1300,49.59,103154.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3111,Compensation and Benefits Managers,160,170,10,6.3,40,100,150,59.99,124776.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3121,Human Resources Managers,2020,2220,200,9.9,480,1310,1990,65.33,135887.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3131,Training and Development Managers,510,560,50,9.8,130,340,520,56.89,118336.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,11-9000,Other Management Occupations,51250,56310,5060,9.9,14640,29230,48930,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",730,700,-30,-4.1,440,260,670,0.00,0.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9021,Construction Managers,7620,8130,510,6.7,1650,4010,6170,54.71,113816.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",550,570,20,3.6,140,290,450,26.83,55812.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9032,"Education Administrators, Elementary and Secondary School",1560,1650,90,5.8,410,830,1330,0.00,143595.00,Master's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9033,"Education Administrators, Postsecondary",1190,1320,130,10.9,320,650,1100,58.97,122661.00,Master's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9039,"Education Administrators, All Other",640,730,90,14.1,180,350,620,53.09,110411.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9041,Architectural and Engineering Managers,3850,4170,320,8.3,700,2190,3210,85.15,177093.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9051,Food Service Managers,6690,7350,660,9.9,2140,5900,8700,27.62,57454.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9081,Lodging Managers,500,510,10,2.0,160,360,530,30.12,62638.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9111,Medical and Health Services Managers,2880,3540,660,22.9,790,1760,3210,64.49,134126.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9141,"Property, Real Estate, and Community Association Managers",7820,8520,700,9.0,3040,3250,6990,34.91,72612.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-9199,"Managers, All Other",14920,16580,1660,11.1,3990,7950,13600,0.00,0.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,13-0000,Business and Financial Operations Occupations,119760,131420,11660,9.7,34010,84460,130130,34.98,72759.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,13-1000,Business Operations Specialists,76820,84300,7480,9.7,22100,56770,86350,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1020,Buyers and Purchasing Agents,5780,5470,-310,-5.4,1770,4090,5550,34.82,72428.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1031,"Claims Adjusters, Examiners, and Investigators",4480,4280,-200,-4.5,1050,2650,3500,36.36,75621.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1032,"Insurance Appraisers, Auto Damage",270,270,0,0.0,70,170,240,32.55,67705.00,Postsecondary non-degree award,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1041,Compliance Officers,4350,4750,400,9.2,1270,2720,4390,37.31,77608.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1051,Cost Estimators,3270,3480,210,6.4,850,2480,3540,34.13,70985.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1071,Human Resources Specialists,7880,8630,750,9.5,2200,6080,9030,32.24,67069.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1075,Labor Relations Specialists,560,540,-20,-3.6,150,410,540,35.50,73853.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1081,Logisticians,2130,2270,140,6.6,520,1580,2240,40.76,84770.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1111,Management Analysts,10310,11530,1220,11.8,3390,6900,11510,44.03,91592.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1121,"Meeting, Convention, and Event Planners",2890,3270,380,13.1,990,2520,3890,27.66,57528.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1131,Fundraisers,610,680,70,11.5,210,460,740,30.92,64311.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",950,1030,80,8.4,330,610,1020,35.14,73080.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1151,Training and Development Specialists,2780,3080,300,10.8,870,2270,3440,33.30,69275.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1161,Market Research Analysts and Marketing Specialists,11610,14190,2580,22.2,3040,10150,15770,31.66,65855.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-1199,"Business Operations Specialists, All Other",18870,20770,1900,10.1,5380,13640,20920,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,13-2000,Financial Specialists,42940,47120,4180,9.7,11900,27690,43770,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2011,Accountants and Auditors,16480,17920,1440,8.7,4850,11180,17470,35.40,73643.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2021,Appraisers and Assessors of Real Estate,710,790,80,11.3,260,300,640,0.00,0.00,Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2031,Budget Analysts,710,770,60,8.5,180,400,640,46.07,95836.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2041,Credit Analysts,1250,1350,100,8.0,290,880,1270,39.55,82268.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2051,Financial Analysts,4820,5350,530,11.0,980,3340,4850,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2052,Personal Financial Advisors,4060,4700,640,15.8,990,2320,3950,37.07,77098.00,Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2053,Insurance Underwriters,1570,1510,-60,-3.8,360,920,1220,35.87,74598.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2061,Financial Examiners,500,560,60,12.0,110,290,460,48.85,101608.00,Bachelor's degree,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2071,Credit Counselors,760,860,100,13.2,190,480,770,24.92,51835.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2072,Loan Officers,7500,8350,850,11.3,1900,4730,7480,27.76,57751.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",360,350,-10,-2.8,140,160,290,44.71,92991.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2082,Tax Preparers,1900,2060,160,8.4,980,1280,2420,24.33,50613.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,13-2099,"Financial Specialists, All Other",2310,2570,260,11.3,680,1430,2370,0.00,0.00,Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,15-0000,Computer and Mathematical Occupations,55560,63710,8150,14.7,9690,33880,51720,44.00,91533.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,15-1100,Computer Occupations,53610,61190,7580,14.1,9230,32870,49680,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1111,Computer and Information Research Scientists,280,330,50,17.9,40,190,280,0.00,0.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1121,Computer Systems Analysts,5190,5750,560,10.8,1040,2910,4510,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1122,Information Security Analysts,770,1010,240,31.2,130,510,880,0.00,0.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1131,Computer Programmers,3050,2920,-130,-4.3,480,1620,1970,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1132,"Software Developers, Applications",10350,13210,2860,27.6,1640,6660,11160,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1133,"Software Developers, Systems Software",7510,8370,860,11.5,1100,4490,6450,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1134,Web Developers,2420,2800,380,15.7,450,1540,2370,0.00,0.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1141,Database Administrators,1040,1170,130,12.5,210,570,910,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1142,Network and Computer Systems Administrators,3890,4070,180,4.6,670,2110,2960,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1143,Computer Network Architects,1600,1770,170,10.6,220,950,1340,0.00,0.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1151,Computer User Support Specialists,8860,10000,1140,12.9,1730,6000,8870,0.00,0.00,"Some college, no degree",None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1152,Computer Network Support Specialists,1650,1800,150,9.1,320,1100,1570,0.00,0.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-1199,"Computer Occupations, All Other",7020,7980,960,13.7,1200,4240,6400,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,15-2000,Mathematical Science Occupations,1950,2520,570,29.2,460,1010,2040,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-2031,Operations Research Analysts,1380,1780,400,29.0,370,660,1430,43.58,90645.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,15-2041,Statisticians,250,330,80,32.0,50,170,300,46.69,97106.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,17-0000,Architecture and Engineering Occupations,38260,41660,3400,8.9,9390,21620,34410,44.14,91796.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,17-1000,"Architects, Surveyors, and Cartographers",2850,3130,280,9.8,720,1550,2550,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-1011,"Architects, Except Landscape and Naval",1980,2200,220,11.1,500,1110,1830,39.28,81713.00,Bachelor's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-1022,Surveyors,470,500,30,6.4,120,230,380,49.13,102189.00,Bachelor's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,17-2000,Engineers,26320,28930,2610,9.9,5590,13780,21980,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2031,Biomedical Engineers,580,700,120,20.7,140,320,580,48.70,101301.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2041,Chemical Engineers,280,330,50,17.9,60,130,240,48.42,100698.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2051,Civil Engineers,6320,6880,560,8.9,1350,3790,5700,49.37,102687.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2061,Computer Hardware Engineers,1510,1680,170,11.3,310,840,1320,55.16,114726.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2071,Electrical Engineers,2840,3050,210,7.4,600,1350,2160,49.22,102385.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2072,"Electronics Engineers, Except Computer",3590,3980,390,10.9,760,1740,2890,54.66,113688.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2081,Environmental Engineers,610,660,50,8.2,170,310,530,49.65,103274.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",300,330,30,10.0,60,150,240,52.40,108986.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2112,Industrial Engineers,3490,3990,500,14.3,760,1800,3060,49.19,102329.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2131,Materials Engineers,400,430,30,7.5,90,170,290,57.24,119063.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2141,Mechanical Engineers,3460,3720,260,7.5,670,1760,2690,49.16,102257.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2171,Petroleum Engineers,110,100,-10,-9.1,20,60,70,0.00,0.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-2199,"Engineers, All Other",1540,1650,110,7.1,330,770,1210,49.33,102594.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",9090,9590,500,5.5,3070,6290,9860,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3011,Architectural and Civil Drafters,1440,1500,60,4.2,490,1020,1570,29.45,61249.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3012,Electrical and Electronics Drafters,550,570,20,3.6,190,390,600,29.63,61629.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3013,Mechanical Drafters,590,560,-30,-5.1,190,400,560,30.09,62600.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3019,"Drafters, All Other",270,280,10,3.7,90,190,290,27.36,56913.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3022,Civil Engineering Technicians,1070,1170,100,9.3,370,720,1190,30.88,64228.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3023,Electrical and Electronics Engineering Technicians,2550,2680,130,5.1,870,1680,2680,30.61,63683.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3025,Environmental Engineering Technicians,170,190,20,11.8,60,110,190,26.71,55554.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3026,Industrial Engineering Technicians,440,460,20,4.5,150,290,460,32.90,68441.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3027,Mechanical Engineering Technicians,460,500,40,8.7,160,310,510,34.22,71173.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3029,"Engineering Technicians, Except Drafters, All Other",750,860,110,14.7,270,520,900,0.00,0.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,17-3031,Surveying and Mapping Technicians,450,490,40,8.9,130,420,590,40.04,83286.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,19-0000,"Life, Physical, and Social Science Occupations",13210,15590,2380,18.0,2850,11030,16260,39.88,82951.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,19-1000,Life Scientists,3520,4200,680,19.3,580,2970,4230,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-1021,Biochemists and Biophysicists,110,140,30,27.3,20,100,150,45.25,94111.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-1022,Microbiologists,290,330,40,13.8,50,240,330,46.76,97272.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-1029,"Biological Scientists, All Other",740,920,180,24.3,130,630,940,46.90,97561.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-1031,Conservation Scientists,100,110,10,10.0,20,90,120,19.32,40167.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-1042,"Medical Scientists, Except Epidemiologists",1840,2190,350,19.0,280,1520,2150,47.82,99465.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,19-2000,Physical Scientists,2820,3210,390,13.8,530,2450,3370,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-2012,Physicists,170,190,20,11.8,30,110,160,48.13,100117.00,Doctoral or professional degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-2031,Chemists,910,1020,110,12.1,160,710,980,36.38,75681.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-2041,"Environmental Scientists and Specialists, Including Health",830,950,120,14.5,160,800,1080,45.39,94414.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-2042,"Geoscientists, Except Hydrologists and Geographers",600,700,100,16.7,120,580,800,43.84,91182.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,19-3000,Social Scientists and Related Workers,3530,4190,660,18.7,900,2340,3900,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-3031,"Clinical, Counseling, and School Psychologists",1470,1830,360,24.5,370,790,1520,48.23,100323.00,Doctoral or professional degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-3039,"Psychologists, All Other",630,660,30,4.8,140,310,480,58.15,120954.00,Master's degree,None,Internship/residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-3051,Urban and Regional Planners,530,600,70,13.2,90,430,590,40.92,85117.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-3091,Anthropologists and Archeologists,130,180,50,38.5,50,130,230,30.53,63499.00,Master's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-3099,"Social Scientists and Related Workers, All Other",470,520,50,10.6,160,410,620,42.19,87750.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,19-4000,"Life, Physical, and Social Science Technicians",3350,3990,640,19.1,840,3270,4750,0.00,0.00,N/A,N/A,N/A
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-4011,Agricultural and Food Science Technicians,110,130,20,18.2,30,120,170,0.00,0.00,Associate's degree,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,19-4021,Biological Technicians,540,670,130,24.1,90,550,770,23.61,49103.00,Bachelor's degree,None,None
