Area Type,Area Name (County Names),Period,Series Code,Industry Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,31000000,Durable Goods Manufacturing,4800,5100,300,6.3
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,32000000,Nondurable Goods Manufacturing,8400,8800,400,4.8
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,32311000,Food Manufacturing,5700,6000,300,5.3
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,40000000,"Trade, Transportation, and Utilities",53300,59200,5900,11.1
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,41000000,Wholesale Trade,8300,9000,700,8.4
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42000000,Retail Trade,31800,32900,1100,3.5
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42445000,Food and Beverage Stores,6300,6900,600,9.5
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42448000,Clothing and Clothing Accessories Stores,3100,2600,-500,-16.1
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42452000,General Merchandise Stores,6600,6800,200,3.0
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,42452200,Department Stores,1900,1300,-600,-31.6
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",13200,17200,4000,30.3
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,50000000,Information,2000,2100,100,5.0
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,55000000,Financial Activities,7600,8000,400,5.3
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,55520000,Finance and Insurance,4400,4300,-100,-2.3
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,55530000,Real Estate and Rental and Leasing,3100,3700,600,19.4
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,60000000,Professional and Business Services,27200,30300,3100,11.4
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,60540000,"Professional, Scientific, and Technical Services",9500,10500,1000,10.5
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,60550000,Management of Companies and Enterprises,3400,4100,700,20.6
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,14400,15800,1400,9.7
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",38100,46000,7900,20.7
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65610000,Educational Services (Private),1700,1900,200,11.8
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65620000,Health Care and Social Assistance,36400,44100,7700,21.2
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65621000,Ambulatory Health Care Services,13700,17200,3500,25.5
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,65622000,Hospitals (Private),8200,9600,1400,17.1
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70000000,Leisure and Hospitality,26700,29300,2600,9.7
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70710000,"Arts, Entertainment, and Recreation",2500,2700,200,8.0
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70720000,Accommodation and Food Services,24200,26600,2400,9.9
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70722000,Food Services and Drinking Places,22300,24300,2000,9.0
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,70722500,Restaurants and Other Eating Places,21400,23400,2000,9.3
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),7900,8500,600,7.6
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90000000,Government,66100,69300,3200,4.8
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90910000,Federal Government,10600,10200,-400,-3.8
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90940000,State and Local Government,55500,59200,3700,6.7
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90920000,State Government,10200,10500,300,2.9
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90921611,State Government Education,1800,1800,0,0.0
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90922000,State Government Excluding Education,8400,8700,300,3.6
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90930000,Local Government,45300,48700,3400,7.5
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90931611,Local Government Education,30400,32100,1700,5.6
Metropolitan Area,Bakersfield MSA (Kern County),2018-2028,90932000,Local Government Excluding Education,14900,16600,1700,11.4
State,California,2018-2028,000001,Total Employment,18825900,20412500,1586600,8.4
State,California,2018-2028,006010,Self Employment,1197100,1286000,88900,7.4
State,California,2018-2028,008010,Private Household Workers,34400,31000,-3400,-9.9
State,California,2018-2028,11000000,Total Farm,421800,431400,9600,2.3
State,California,2018-2028,0,Total Nonfarm,17172600,18664100,1491500,8.7
State,California,2018-2028,10000000,Mining and Logging,22400,21100,-1300,-5.8
State,California,2018-2028,10113300,Logging,2100,1900,-200,-9.5
State,California,2018-2028,10210000,"Mining, Quarrying, and Oil and Gas Extraction",20400,19200,-1200,-5.9
State,California,2018-2028,10211000,Oil and Gas Extraction,4800,4300,-500,-10.4
State,California,2018-2028,10212000,Mining (except Oil and Gas),5800,5400,-400,-6.9
State,California,2018-2028,10213000,Support Activities for Mining,9800,9500,-300,-3.1
State,California,2018-2028,20000000,Construction,860200,944600,84400,9.8
State,California,2018-2028,20236000,Construction of Buildings,196500,219200,22700,11.6
State,California,2018-2028,20236100,Residential Building Construction,114700,133500,18800,16.4
State,California,2018-2028,20236200,Nonresidential Building Construction,81800,85700,3900,4.8
State,California,2018-2028,20237000,Heavy and Civil Engineering Construction,90300,96300,6000,6.6
State,California,2018-2028,20237100,Utility System Construction,47700,51500,3800,8.0
State,California,2018-2028,20237200,Land Subdivision,7000,6900,-100,-1.4
State,California,2018-2028,20237300,"Highway, Street, and Bridge Construction",25600,27400,1800,7.0
State,California,2018-2028,20237900,Other Heavy and Civil Engineering Construction,10000,10500,500,5.0
State,California,2018-2028,20238000,Specialty Trade Contractors,573300,629100,55800,9.7
State,California,2018-2028,20238100,"Foundation, Structure, and Building Exterior Contractors",129000,139100,10100,7.8
State,California,2018-2028,20238200,Building Equipment Contractors,234800,260000,25200,10.7
State,California,2018-2028,20238300,Building Finishing Contractors,142000,159300,17300,12.2
State,California,2018-2028,20238900,Other Specialty Trade Contractors,67500,70700,3200,4.7
State,California,2018-2028,30000000,Manufacturing,1323100,1301100,-22000,-1.7
State,California,2018-2028,31000000,Durable Goods Manufacturing,845400,834600,-10800,-1.3
State,California,2018-2028,31321000,Wood Product Manufacturing,25400,24000,-1400,-5.5
State,California,2018-2028,31321900,Other Wood Product Manufacturing,18000,17200,-800,-4.4
State,California,2018-2028,31332000,Fabricated Metal Product Manufacturing,132900,126400,-6500,-4.9
State,California,2018-2028,31332300,Architectural and Structural Metals Manufacturing,33700,32500,-1200,-3.6
State,California,2018-2028,31332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",43100,41700,-1400,-3.2
State,California,2018-2028,31332900,Other Fabricated Metal Product Manufacturing,18000,17000,-1000,-5.6
State,California,2018-2028,31333000,Machinery Manufacturing,77300,78500,1200,1.6
State,California,2018-2028,31333200,Industrial Machinery Manufacturing,20500,24100,3600,17.6
State,California,2018-2028,31333300,Commercial and Service Industry Machinery Manufacturing,11800,10900,-900,-7.6
State,California,2018-2028,31333500,Metalworking Machinery Manufacturing,12200,11100,-1100,-9.0
State,California,2018-2028,31333900,Other General Purpose Machinery Manufacturing,15500,14200,-1300,-8.4
State,California,2018-2028,31334000,Computer and Electronic Product Manufacturing,278400,276800,-1600,-0.6
State,California,2018-2028,31334100,Computer and Peripheral Equipment Manufacturing,74500,80400,5900,7.9
State,California,2018-2028,31334200,Communications Equipment Manufacturing,18300,14300,-4000,-21.9
State,California,2018-2028,31334400,Semiconductor and Other Electronic Component Manufacturing,86500,77400,-9100,-10.5
State,California,2018-2028,31334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",88000,94900,6900,7.8
State,California,2018-2028,31335000,"Electrical Equipment, Appliance, and Component Manufacturing",33000,31800,-1200,-3.6
State,California,2018-2028,31336000,Transportation Equipment Manufacturing,127700,133100,5400,4.2
State,California,2018-2028,31336100,Motor Vehicle Manufacturing,18900,25800,6900,36.5
State,California,2018-2028,31336400,Aerospace Product and Parts Manufacturing,76000,77500,1500,2.0
State,California,2018-2028,31336600,Ship and Boat Building,8500,7500,-1000,-11.8
State,California,2018-2028,31337000,Furniture and Related Product Manufacturing,34900,28800,-6100,-17.5
State,California,2018-2028,31337100,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,21700,17500,-4200,-19.4
State,California,2018-2028,31339000,Miscellaneous Manufacturing,86200,88100,1900,2.2
State,California,2018-2028,31339100,Medical Equipment and Supplies Manufacturing,54400,58500,4100,7.5
State,California,2018-2028,31339900,Other Miscellaneous Manufacturing,31700,29600,-2100,-6.6
State,California,2018-2028,32000000,Nondurable Goods Manufacturing,477700,466500,-11200,-2.3
State,California,2018-2028,32311000,Food Manufacturing,161400,162700,1300,0.8
State,California,2018-2028,32311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,27900,25200,-2700,-9.7
State,California,2018-2028,32311500,Dairy Product Manufacturing,17700,18000,300,1.7
State,California,2018-2028,32311600,Animal Slaughtering and Processing,22100,22400,300,1.4
State,California,2018-2028,32311800,Bakeries and Tortilla Manufacturing,43700,42800,-900,-2.1
State,California,2018-2028,32311900,Other Food Manufacturing,33600,37100,3500,10.4
State,California,2018-2028,32312000,Beverage and Tobacco Product Manufacturing,63600,76800,13200,20.8
State,California,2018-2028,32313000,Textile Mills,6200,4500,-1700,-27.4
State,California,2018-2028,32314000,Textile Product Mills,8600,7400,-1200,-14.0
State,California,2018-2028,32315000,Apparel Manufacturing,37100,27300,-9800,-26.4
State,California,2018-2028,32315100,Apparel Knitting Mills,1000,800,-200,-20.0
State,California,2018-2028,32315200,Cut and Sew Apparel Manufacturing,33600,24500,-9100,-27.1
State,California,2018-2028,32322000,Paper Manufacturing,21300,19900,-1400,-6.6
State,California,2018-2028,32322200,Converted Paper Product Manufacturing,20100,18900,-1200,-6.0
State,California,2018-2028,32323000,Printing and Related Support Activities,39200,32300,-6900,-17.6
State,California,2018-2028,32324000,Petroleum and Coal Products Manufacturing,13000,10500,-2500,-19.2
State,California,2018-2028,32325000,Chemical Manufacturing,80700,83500,2800,3.5
State,California,2018-2028,32325400,Pharmaceutical and Medicine Manufacturing,46800,49000,2200,4.7
State,California,2018-2028,32325600,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",12100,12900,800,6.6
State,California,2018-2028,40000000,"Trade, Transportation, and Utilities",3047900,3206300,158400,5.2
State,California,2018-2028,41000000,Wholesale Trade,698900,724200,25300,3.6
State,California,2018-2028,41423000,"Merchant Wholesalers, Durable Goods",356800,361000,4200,1.2
State,California,2018-2028,41423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,40900,40700,-200,-0.5
State,California,2018-2028,41423200,Furniture and Home Furnishing Merchant Wholesalers,21600,22600,1000,4.6
State,California,2018-2028,41423300,Lumber and Other Construction Materials Merchant Wholesalers,24100,25200,1100,4.6
State,California,2018-2028,41423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,81800,83000,1200,1.5
State,California,2018-2028,41423600,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,49900,51200,1300,2.6
State,California,2018-2028,41423700,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",28500,29800,1300,4.6
State,California,2018-2028,41423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",55300,56000,700,1.3
State,California,2018-2028,41424000,"Merchant Wholesalers, Nondurable Goods",297300,329000,31700,10.7
State,California,2018-2028,41424100,Paper and Paper Product Merchant Wholesalers,15200,12400,-2800,-18.4
State,California,2018-2028,41424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",40600,43800,3200,7.9
State,California,2018-2028,41424400,Grocery and Related Product Merchant Wholesalers,113300,129500,16200,14.3
State,California,2018-2028,41424600,Chemical and Allied Products Merchant Wholesalers,14900,16400,1500,10.1
State,California,2018-2028,41424900,Miscellaneous Nondurable Goods Merchant Wholesalers,48900,51200,2300,4.7
State,California,2018-2028,41425000,Wholesale Electronic Markets and Agents and Brokers,44800,34200,-10600,-23.7
State,California,2018-2028,42000000,Retail Trade,1684300,1692100,7800,0.5
State,California,2018-2028,42441000,Motor Vehicle and Parts Dealers,201200,204200,3000,1.5
State,California,2018-2028,42441100,Automobile Dealers,134600,138700,4100,3.0
State,California,2018-2028,42441200,Other Motor Vehicle Dealers,12900,13500,600,4.7
State,California,2018-2028,42441300,"Automotive Parts, Accessories, and Tire Stores",53600,52000,-1600,-3.0
State,California,2018-2028,42442000,Furniture and Home Furnishings Stores,55000,57100,2100,3.8
State,California,2018-2028,42442100,Furniture Stores,21900,22400,500,2.3
State,California,2018-2028,42442200,Home Furnishings Stores,33100,34700,1600,4.8
State,California,2018-2028,42443000,Electronics and Appliance Stores,62900,55400,-7500,-11.9
State,California,2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,125500,131400,5900,4.7
State,California,2018-2028,42444100,Building Material and Supplies Dealers,114200,119600,5400,4.7
State,California,2018-2028,42445000,Food and Beverage Stores,357700,377600,19900,5.6
State,California,2018-2028,42445100,Grocery Stores,313900,338600,24700,7.9
State,California,2018-2028,42445200,Specialty Food Stores,27400,21300,-6100,-22.3
State,California,2018-2028,42445300,"Beer, Wine, and Liquor Stores",16400,17700,1300,7.9
State,California,2018-2028,42446000,Health and Personal Care Stores,116600,123100,6500,5.6
State,California,2018-2028,42447000,Gasoline Stations,62400,65400,3000,4.8
State,California,2018-2028,42448000,Clothing and Clothing Accessories Stores,194200,166500,-27700,-14.3
State,California,2018-2028,42448100,Clothing Stores,150800,128500,-22300,-14.8
State,California,2018-2028,42448300,"Jewelry, Luggage, and Leather Goods Stores",15700,13100,-2600,-16.6
State,California,2018-2028,42451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",62100,50700,-11400,-18.4
State,California,2018-2028,42451100,"Sporting Goods, Hobby, and Musical Instrument Stores",53100,44800,-8300,-15.6
